n_walkers,n_volume,mu,lmax,D,surface,TargetShape,n_targets,fixed_target_dist,detection_time,probability,surface_selector,first_touch_steps,second_touch_steps,delta_selector,delta
1,134217728,2.8,256,8.74,240.00,Ball_no_boundary,1,0.0,5957203.86,1.00,1,5334359,-1,0,0.00
1,134217728,2.8,256,12.36,480.00,Ball_no_boundary,1,0.0,2704312.99,1.00,1,2429477,-1,0,0.00
1,134217728,2.8,256,17.48,960.00,Ball_no_boundary,1,0.0,4672400.38,1.00,1,4195329,-1,0,0.00
1,134217728,2.8,256,24.72,1920.00,Ball_no_boundary,1,0.0,759643.24,1.00,1,681876,-1,0,0.00
1,134217728,2.8,256,30.90,3000.00,Ball_no_boundary,1,0.0,87095.22,1.00,1,78099,-1,0,0.00
1,134217728,2.8,256,7.00,60.00,Line,1,0.0,17264289.32,1.00,1,15481592,-1,0,0.00
1,134217728,2.8,256,17.00,120.00,Line,1,0.0,23377098.48,1.00,1,20948502,-1,0,0.00
1,134217728,2.8,256,36.00,240.00,Line,1,0.0,2276832.46,1.00,1,2041365,-1,0,0.00
1,134217728,2.8,256,74.00,480.00,Line,1,0.0,4758072.50,1.00,1,4256762,-1,0,0.00
1,134217728,2.8,256,150.00,960.00,Line,1,0.0,336719.89,1.00,1,303245,-1,0,0.00
1,134217728,2.8,256,303.00,1920.00,Line,1,0.0,801897.64,1.00,1,719154,-1,0,0.00
1,134217728,2.8,256,475.00,3000.00,Line,1,0.0,75135.32,1.00,1,67365,-1,0,0.00
1,134217728,3.0,256,4.37,60.00,Ball_no_boundary,1,0.0,14419933.90,1.00,1,14457064,-1,0,0.00
1,134217728,3.0,256,6.18,120.00,Ball_no_boundary,1,0.0,2767519.79,1.00,1,2782113,-1,0,0.00
1,134217728,3.0,256,8.74,240.00,Ball_no_boundary,1,0.0,5503013.51,1.00,1,5517258,-1,0,0.00
1,134217728,3.0,256,12.36,480.00,Ball_no_boundary,1,0.0,2860673.99,1.00,1,2871110,-1,0,0.00
1,134217728,3.0,256,17.48,960.00,Ball_no_boundary,1,0.0,4153320.65,1.00,1,4162093,-1,0,0.00
1,134217728,3.0,256,24.72,1920.00,Ball_no_boundary,1,0.0,856257.59,1.00,1,859680,-1,0,0.00
1,134217728,3.0,256,30.90,3000.00,Ball_no_boundary,1,0.0,1353711.91,1.00,1,1358709,-1,0,0.00
1,134217728,3.0,256,7.00,60.00,Line,1,0.0,61194401.22,1.00,1,61349638,-1,0,0.00
1,134217728,3.0,256,17.00,120.00,Line,1,0.0,11631086.44,1.00,1,11663985,-1,0,0.00
1,134217728,3.0,256,36.00,240.00,Line,1,0.0,1289702.36,1.00,1,1294211,-1,0,0.00
1,134217728,3.0,256,74.00,480.00,Line,1,0.0,7297577.17,1.00,1,7318710,-1,0,0.00
1,134217728,3.0,256,150.00,960.00,Line,1,0.0,1535863.50,1.00,1,1537343,-1,0,0.00
1,134217728,3.0,256,303.00,1920.00,Line,1,0.0,607713.45,1.00,1,606681,-1,0,0.00
1,134217728,3.0,256,475.00,3000.00,Line,1,0.0,357653.63,1.00,1,359512,-1,0,0.00
1,134217728,1.0,256,4.37,60.00,Ball_no_boundary,1,0.0,56319607.38,1.00,1,1444559,-1,0,0.00
1,134217728,1.0,256,6.18,120.00,Ball_no_boundary,1,0.0,150210307.49,1.00,1,3846709,-1,0,0.00
1,134217728,1.0,256,8.74,240.00,Ball_no_boundary,1,0.0,15895971.53,1.00,1,408337,-1,0,0.00
1,134217728,1.0,256,12.36,480.00,Ball_no_boundary,1,0.0,3870281.39,1.00,1,98460,-1,0,0.00
1,134217728,1.0,256,17.48,960.00,Ball_no_boundary,1,0.0,3846620.02,1.00,1,97476,-1,0,0.00
1,134217728,1.0,256,24.72,1920.00,Ball_no_boundary,1,0.0,416364.46,1.00,1,10646,-1,0,0.00
1,134217728,1.0,256,30.90,3000.00,Ball_no_boundary,1,0.0,570263.09,1.00,1,14556,-1,0,0.00
1,134217728,1.0,256,7.00,60.00,Line,1,0.0,225889108.53,1.00,1,5782276,-1,0,0.00
1,134217728,1.0,256,17.00,120.00,Line,1,0.0,122052964.58,1.00,1,3125149,-1,0,0.00
1,134217728,1.0,256,36.00,240.00,Line,1,0.0,151953435.87,1.00,1,3893605,-1,0,0.00
1,134217728,1.0,256,74.00,480.00,Line,1,0.0,9027935.87,1.00,1,230850,-1,0,0.00
1,134217728,1.0,256,150.00,960.00,Line,1,0.0,9971331.58,1.00,1,255470,-1,0,0.00
1,134217728,1.0,256,303.00,1920.00,Line,1,0.0,961507.66,1.00,1,24640,-1,0,0.00
1,134217728,1.0,256,475.00,3000.00,Line,1,0.0,532069.67,1.00,1,13574,-1,0,0.00
1,134217728,1.2,256,4.37,60.00,Ball_no_boundary,1,0.0,444153285.69,1.00,1,18426552,-1,0,0.00
1,134217728,1.2,256,6.18,120.00,Ball_no_boundary,1,0.0,33204653.25,1.00,1,1379975,-1,0,0.00
1,134217728,1.2,256,8.74,240.00,Ball_no_boundary,1,0.0,5110343.41,1.00,1,214645,-1,0,0.00
1,134217728,1.2,256,12.36,480.00,Ball_no_boundary,1,0.0,2863552.75,1.00,1,118092,-1,0,0.00
1,134217728,1.2,256,17.48,960.00,Ball_no_boundary,1,0.0,4713752.43,1.00,1,197309,-1,0,0.00
1,134217728,1.2,256,24.72,1920.00,Ball_no_boundary,1,0.0,1330411.29,1.00,1,54307,-1,0,0.00
1,134217728,1.2,256,30.90,3000.00,Ball_no_boundary,1,0.0,89193.02,1.00,1,3759,-1,0,0.00
1,134217728,1.2,256,7.00,60.00,Line,1,0.0,12881654.28,1.00,1,532580,-1,0,0.00
1,134217728,1.2,256,17.00,120.00,Line,1,0.0,86303864.06,1.00,1,3579320,-1,0,0.00
1,134217728,1.2,256,36.00,240.00,Line,1,0.0,24868487.61,1.00,1,1029596,-1,0,0.00
1,134217728,1.2,256,74.00,480.00,Line,1,0.0,664726.73,1.00,1,27626,-1,0,0.00
1,134217728,1.2,256,150.00,960.00,Line,1,0.0,3854055.61,1.00,1,158942,-1,0,0.00
1,134217728,1.2,256,303.00,1920.00,Line,1,0.0,3643589.17,1.00,1,151831,-1,0,0.00
1,134217728,1.2,256,475.00,3000.00,Line,1,0.0,3690789.65,1.00,1,152881,-1,0,0.00
1,134217728,1.4,256,4.37,60.00,Ball_no_boundary,1,0.0,14086568.89,1.00,1,1003266,-1,0,0.00
1,134217728,1.4,256,6.18,120.00,Ball_no_boundary,1,0.0,41536567.23,1.00,1,2965284,-1,0,0.00
1,134217728,1.4,256,8.74,240.00,Ball_no_boundary,1,0.0,9161178.51,1.00,1,654006,-1,0,0.00
1,134217728,1.4,256,12.36,480.00,Ball_no_boundary,1,0.0,4755006.10,1.00,1,340011,-1,0,0.00
1,134217728,1.4,256,17.48,960.00,Ball_no_boundary,1,0.0,270072.62,1.00,1,19420,-1,0,0.00
1,134217728,1.4,256,24.72,1920.00,Ball_no_boundary,1,0.0,206155.19,1.00,1,14721,-1,0,0.00
1,134217728,1.4,256,30.90,3000.00,Ball_no_boundary,1,0.0,753444.78,1.00,1,54000,-1,0,0.00
1,134217728,1.4,256,7.00,60.00,Line,1,0.0,7925639.46,1.00,1,566053,-1,0,0.00
1,134217728,1.4,256,17.00,120.00,Line,1,0.0,18318017.35,1.00,1,1306056,-1,0,0.00
1,134217728,1.4,256,36.00,240.00,Line,1,0.0,38031983.07,1.00,1,2708101,-1,0,0.00
1,134217728,1.4,256,74.00,480.00,Line,1,0.0,710612.26,1.00,1,49621,-1,0,0.00
1,134217728,1.4,256,150.00,960.00,Line,1,0.0,14180873.06,1.00,1,1017667,-1,0,0.00
