n_walkers,n_volume,mu,lmax,D,TargetShape,DiskDiameter,n_targets,fixed_target_dist,detection_time,probability
1,134217728,3.0,256,25.00,Line,25,1,0.0,3700359.77,1.00
1,134217728,3.0,256,6.87,Ball_no_boundary,25,1,0.0,30118591.30,1.00
1,134217728,3.0,256,50.00,Line,50,1,0.0,6307803.81,1.00
1,134217728,3.0,256,8.55,Ball_no_boundary,50,1,0.0,4527153.20,1.00
1,134217728,3.0,256,100.00,Line,100,1,0.0,4380070.65,1.00
1,134217728,3.0,256,10.70,Ball_no_boundary,100,1,0.0,6105677.58,1.00
1,134217728,3.0,256,200.00,Line,200,1,0.0,576154.60,1.00
1,134217728,3.0,256,13.43,Ball_no_boundary,200,1,0.0,1430090.65,1.00
1,134217728,3.0,256,250.00,Line,250,1,0.0,240574.97,1.00
1,134217728,3.0,256,14.46,Ball_no_boundary,250,1,0.0,1496900.48,1.00
1,134217728,3.0,256,300.00,Line,300,1,0.0,553544.39,1.00
1,134217728,3.0,256,15.36,Ball_no_boundary,300,1,0.0,5015735.07,1.00
1,134217728,3.0,256,350.00,Line,350,1,0.0,787161.02,1.00
1,134217728,3.0,256,16.16,Ball_no_boundary,350,1,0.0,1974014.16,1.00
1,134217728,3.0,256,400.00,Line,400,1,0.0,1719451.01,1.00
1,134217728,3.0,256,16.90,Ball_no_boundary,400,1,0.0,4768256.20,1.00
1,134217728,3.0,256,450.00,Line,450,1,0.0,153238.50,1.00
1,134217728,3.0,256,17.57,Ball_no_boundary,450,1,0.0,2075528.66,1.00
1,134217728,3.0,256,500.00,Line,500,1,0.0,244060.32,1.00
1,134217728,3.0,256,18.20,Ball_no_boundary,500,1,0.0,1917377.02,1.00
1,134217728,1.0,256,10.00,Line,10,1,0.0,12971421.13,1.00
1,134217728,1.0,256,5.24,Ball_no_boundary,10,1,0.0,9564266.67,1.00
1,134217728,1.0,256,25.00,Line,25,1,0.0,46149047.22,1.00
1,134217728,1.0,256,6.87,Ball_no_boundary,25,1,0.0,74436027.06,1.00
1,134217728,1.0,256,50.00,Line,50,1,0.0,632359.00,1.00
1,134217728,1.0,256,8.55,Ball_no_boundary,50,1,0.0,3670043.57,1.00
1,134217728,1.0,256,100.00,Line,100,1,0.0,22668571.31,1.00
1,134217728,1.0,256,10.70,Ball_no_boundary,100,1,0.0,5927573.06,1.00
1,134217728,1.0,256,200.00,Line,200,1,0.0,22155445.42,1.00
1,134217728,1.0,256,13.43,Ball_no_boundary,200,1,0.0,3995830.25,1.00
1,134217728,1.0,256,250.00,Line,250,1,0.0,58481592.44,1.00
1,134217728,1.0,256,14.46,Ball_no_boundary,250,1,0.0,1021200.24,1.00
1,134217728,1.0,256,300.00,Line,300,1,0.0,1214629.69,1.00
1,134217728,1.0,256,15.36,Ball_no_boundary,300,1,0.0,298898.88,1.00
1,134217728,1.0,256,350.00,Line,350,1,0.0,6405187.17,1.00
1,134217728,1.0,256,16.16,Ball_no_boundary,350,1,0.0,9567848.10,1.00
1,134217728,1.0,256,400.00,Line,400,1,0.0,2026919.29,1.00
1,134217728,1.0,256,16.90,Ball_no_boundary,400,1,0.0,2408250.02,1.00
1,134217728,1.0,256,450.00,Line,450,1,0.0,5977155.87,1.00
1,134217728,1.0,256,17.57,Ball_no_boundary,450,1,0.0,225225.33,1.00
1,134217728,1.0,256,500.00,Line,500,1,0.0,12454703.58,1.00
1,134217728,1.0,256,18.20,Ball_no_boundary,500,1,0.0,1912945.85,1.00
1,134217728,1.2,256,10.00,Line,10,1,0.0,240268875.66,1.00
1,134217728,1.2,256,5.24,Ball_no_boundary,10,1,0.0,1534910.19,1.00
1,134217728,1.2,256,25.00,Line,25,1,0.0,74340368.35,1.00
1,134217728,1.2,256,6.87,Ball_no_boundary,25,1,0.0,533770.97,1.00
1,134217728,1.2,256,50.00,Line,50,1,0.0,13252559.71,1.00
1,134217728,1.2,256,8.55,Ball_no_boundary,50,1,0.0,23447201.01,1.00
1,134217728,1.2,256,100.00,Line,100,1,0.0,2648709.72,1.00
1,134217728,1.2,256,10.70,Ball_no_boundary,100,1,0.0,27927085.61,1.00
1,134217728,1.2,256,200.00,Line,200,1,0.0,4134275.88,1.00
1,134217728,1.2,256,13.43,Ball_no_boundary,200,1,0.0,5310846.20,1.00
1,134217728,1.2,256,250.00,Line,250,1,0.0,2945257.64,1.00
1,134217728,1.2,256,14.46,Ball_no_boundary,250,1,0.0,373053.61,1.00
1,134217728,1.2,256,300.00,Line,300,1,0.0,6404278.40,1.00
1,134217728,1.2,256,15.36,Ball_no_boundary,300,1,0.0,316531.21,1.00
1,134217728,1.2,256,350.00,Line,350,1,0.0,2552669.76,1.00
1,134217728,1.2,256,16.16,Ball_no_boundary,350,1,0.0,1967067.86,1.00
1,134217728,1.2,256,400.00,Line,400,1,0.0,3918985.39,1.00
1,134217728,1.2,256,16.90,Ball_no_boundary,400,1,0.0,4785394.21,1.00
1,134217728,1.2,256,450.00,Line,450,1,0.0,11017742.96,1.00
1,134217728,1.2,256,17.57,Ball_no_boundary,450,1,0.0,739278.95,1.00
1,134217728,1.2,256,500.00,Line,500,1,0.0,594083.52,1.00
1,134217728,1.2,256,18.20,Ball_no_boundary,500,1,0.0,5353961.02,1.00
1,134217728,1.4,256,10.00,Line,10,1,0.0,151155898.88,1.00
1,134217728,1.4,256,5.24,Ball_no_boundary,10,1,0.0,96160898.69,1.00
1,134217728,1.4,256,25.00,Line,25,1,0.0,24578991.89,1.00
1,134217728,1.4,256,6.87,Ball_no_boundary,25,1,0.0,8317426.95,1.00
1,134217728,1.4,256,50.00,Line,50,1,0.0,188010.55,1.00
1,134217728,1.4,256,8.55,Ball_no_boundary,50,1,0.0,26343587.13,1.00
1,134217728,1.4,256,100.00,Line,100,1,0.0,7262230.67,1.00
1,134217728,1.4,256,10.70,Ball_no_boundary,100,1,0.0,1334353.66,1.00
1,134217728,1.4,256,200.00,Line,200,1,0.0,7694527.67,1.00
1,134217728,1.4,256,13.43,Ball_no_boundary,200,1,0.0,4617749.38,1.00
1,134217728,1.4,256,250.00,Line,250,1,0.0,932464.52,1.00
1,134217728,1.4,256,14.46,Ball_no_boundary,250,1,0.0,2211788.37,1.00
1,134217728,1.4,256,300.00,Line,300,1,0.0,7519826.61,1.00
1,134217728,1.4,256,15.36,Ball_no_boundary,300,1,0.0,5245390.50,1.00
1,134217728,1.4,256,350.00,Line,350,1,0.0,2362075.93,1.00
1,134217728,1.4,256,16.16,Ball_no_boundary,350,1,0.0,107026.48,1.00
1,134217728,1.4,256,400.00,Line,400,1,0.0,4265814.87,1.00
